Issue ID,Summary,Description,Issue Type,Priority,Severity,Component,Environment,Steps to Reproduce,Expected Result,Actual Result,Status,Reporter,Assignee,Created Date,Labels,Sprint,BuildNo,TestCycleId,TotalTests,TestsPassed,TestsFailed,FoundInProduction,TimeToDetect,TesterHoursSpent,RiskScore,BugAgeDays,TestCoverage,TestDurationMins,DateOpened,DateClosed,DateReopened,CurrentStatusDuration
MMT-1017,Feedback form not submitting,The issue observed was: feedback form not submitting.,Bug,Low,Critical,Flight Booking,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Feedback form not submitting occurs.,Resolved,user5@igsqa.com,qa3@igsqa.com,2025-03-29,Booking,Sprint-4,v1.0.2,TCY-134,71,66,5,0,60,2,6,45,81,75,2025-03-29,2025-04-05,,38
MMT-1018,Search results not loading,The issue observed was: search results not loading.,Bug,High,Minor,Web UI,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Search results not loading occurs.,Resolved,user8@igsqa.com,qa1@igsqa.com,2025-03-28,Booking,Sprint-5,v1.0.2,TCY-100,84,77,7,0,63,5,5,46,88,159,2025-03-28,2025-04-05,,38
MMT-1019,Seat selection not saving,The issue observed was: seat selection not saving.,Functional Bug,Low,Critical,Search,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Seat selection not saving occurs.,Open,user4@igsqa.com,qa1@igsqa.com,2025-04-24,Payment,Sprint-1,v1.0.4,TCY-134,98,94,4,1,32,11,7,19,73,64,2025-04-24,,,19
MMT-1020,Incorrect fare displayed,The issue observed was: incorrect fare displayed.,Bug,Low,Critical,Web UI,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Incorrect fare displayed occurs.,Reopened,user3@igsqa.com,qa5@igsqa.com,2025-03-18,"Mobile, Crash",Sprint-4,v1.0.4,TCY-136,71,68,3,0,33,7,5,56,87,110,2025-03-18,2025-03-22,2025-03-24,50
MMT-1021,Seat selection not saving,The issue observed was: seat selection not saving.,Performance Issue,High,Minor,Web UI,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Seat selection not saving occurs.,In Progress,user4@igsqa.com,qa5@igsqa.com,2025-05-10,"QA, SmokeTest",Sprint-2,v1.0.1,TCY-146,10,9,1,0,67,7,7,3,64,119,2025-05-10,,,3
MMT-1022,Map view not loading,The issue observed was: map view not loading.,UI Bug,Medium,Minor,Hotel Booking,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Map view not loading occurs.,Open,user8@igsqa.com,qa4@igsqa.com,2025-03-28,"Backend, P1",Sprint-5,v1.0.5,TCY-113,36,31,5,0,18,6,4,46,89,37,2025-03-28,,,46
MMT-1023,GST invoice not generated,The issue observed was: gst invoice not generated.,Bug,High,Critical,Offers,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,GST invoice not generated occurs.,Resolved,user8@igsqa.com,qa3@igsqa.com,2025-03-23,Payment,Sprint-4,v1.0.5,TCY-102,71,66,5,0,25,2,7,51,64,122,2025-03-23,2025-03-31,,43
MMT-1024,Seat selection not saving,The issue observed was: seat selection not saving.,Bug,Low,Major,User Profile,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Seat selection not saving occurs.,In Progress,user7@igsqa.com,qa4@igsqa.com,2025-04-17,"QA, SmokeTest",Sprint-1,v1.0.2,TCY-100,86,86,0,0,54,9,6,26,71,119,2025-04-17,,,26
MMT-1025,Booking confirmation email not received,The issue observed was: booking confirmation email not received.,Performance Issue,High,Minor,Search,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Booking confirmation email not received occurs.,Reopened,user7@igsqa.com,qa4@igsqa.com,2025-04-21,Payment,Sprint-1,v1.0.5,TCY-104,12,4,8,0,58,6,7,22,75,144,2025-04-21,2025-04-23,2025-04-24,19
MMT-1026,Map view not loading,The issue observed was: map view not loading.,Bug,Medium,Major,Payment Gateway,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Map view not loading occurs.,In Progress,user6@igsqa.com,qa5@igsqa.com,2025-03-23,Payment,Sprint-3,v1.0.2,TCY-125,79,74,5,0,67,6,6,51,85,134,2025-03-23,,,51
MMT-1027,Filters not working,The issue observed was: filters not working.,Functional Bug,Low,Major,Offers,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Filters not working occurs.,Resolved,user9@igsqa.com,qa4@igsqa.com,2025-03-30,"Backend, P1",Sprint-3,v1.0.1,TCY-113,81,79,2,0,46,8,4,44,85,164,2025-03-30,2025-04-03,,40
MMT-1028,Seat selection not saving,The issue observed was: seat selection not saving.,Bug,High,Major,Offers,UAT,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Seat selection not saving occurs.,Open,user4@igsqa.com,qa1@igsqa.com,2025-03-30,"UI, Regression",Sprint-2,v1.0.4,TCY-138,36,33,3,0,24,5,7,44,80,87,2025-03-30,,,44
MMT-1029,App crash on hotel booking,The issue observed was: app crash on hotel booking.,Performance Issue,Medium,Minor,Web UI,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,App crash on hotel booking occurs.,Reopened,user5@igsqa.com,qa4@igsqa.com,2025-04-02,"Backend, P1",Sprint-4,v1.0.4,TCY-126,18,15,3,0,32,7,6,41,98,143,2025-04-02,2025-04-04,2025-04-07,36
MMT-1030,Booking confirmation email not received,The issue observed was: booking confirmation email not received.,Performance Issue,Medium,Minor,Mobile App,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Booking confirmation email not received occurs.,Reopened,user1@igsqa.com,qa4@igsqa.com,2025-04-21,"Backend, P1",Sprint-4,v1.0.4,TCY-108,71,69,2,0,47,5,6,22,95,104,2025-04-21,2025-04-23,2025-04-24,19
MMT-1031,Filters not working,The issue observed was: filters not working.,Performance Issue,Medium,Minor,Flight Booking,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Filters not working occurs.,Reopened,user6@igsqa.com,qa3@igsqa.com,2025-04-26,Booking,Sprint-3,v1.0.5,TCY-114,46,37,9,0,23,4,6,17,92,149,2025-04-26,2025-04-30,2025-05-01,12
MMT-1032,Incorrect fare displayed,The issue observed was: incorrect fare displayed.,Performance Issue,Medium,Major,Search,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Incorrect fare displayed occurs.,Reopened,user8@igsqa.com,qa3@igsqa.com,2025-04-02,"Backend, P1",Sprint-4,v1.0.1,TCY-114,60,58,2,0,66,8,5,41,89,50,2025-04-02,2025-04-06,2025-04-07,36
MMT-1033,Flight timings mismatch,The issue observed was: flight timings mismatch.,Performance Issue,Medium,Minor,Payment Gateway,UAT,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Flight timings mismatch occurs.,Resolved,user9@igsqa.com,qa4@igsqa.com,2025-03-16,UX,Sprint-4,v1.0.5,TCY-125,53,51,2,0,27,9,5,58,96,167,2025-03-16,2025-03-22,,52
MMT-1034,Map view not loading,The issue observed was: map view not loading.,Bug,Medium,Minor,Web UI,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Map view not loading occurs.,In Progress,user10@igsqa.com,qa5@igsqa.com,2025-04-13,Booking,Sprint-1,v1.0.5,TCY-141,33,30,3,0,2,5,6,30,82,130,2025-04-13,,,30
MMT-1035,Search results not loading,The issue observed was: search results not loading.,UI Bug,Medium,Minor,Web UI,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Search results not loading occurs.,Resolved,user4@igsqa.com,qa3@igsqa.com,2025-05-05,"Backend, P1",Sprint-3,v1.0.1,TCY-112,88,82,6,0,17,3,5,8,69,128,2025-05-05,2025-05-08,,5
MMT-1036,Payment gateway timeout error,The issue observed was: payment gateway timeout error.,Bug,High,Critical,Offers,UAT,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Payment gateway timeout error occurs.,Resolved,user8@igsqa.com,qa4@igsqa.com,2025-04-14,UX,Sprint-5,v1.0.1,TCY-131,68,65,3,0,33,11,8,29,64,65,2025-04-14,2025-04-17,,26
MMT-1037,Filters not working,The issue observed was: filters not working.,Functional Bug,Medium,Major,User Profile,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Filters not working occurs.,Reopened,user5@igsqa.com,qa4@igsqa.com,2025-04-18,Payment,Sprint-3,v1.0.1,TCY-138,41,33,8,0,9,4,7,25,95,125,2025-04-18,2025-04-22,2025-04-24,19
MMT-1038,Payment gateway timeout error,The issue observed was: payment gateway timeout error.,Bug,High,Major,Hotel Booking,UAT,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Payment gateway timeout error occurs.,Resolved,user1@igsqa.com,qa2@igsqa.com,2025-04-12,Payment,Sprint-5,v1.0.1,TCY-148,97,97,0,0,43,2,7,31,93,66,2025-04-12,2025-04-20,,23
MMT-1039,Filters not working,The issue observed was: filters not working.,Functional Bug,High,Minor,Mobile App,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Filters not working occurs.,In Progress,user7@igsqa.com,qa2@igsqa.com,2025-04-22,"Backend, P1",Sprint-1,v1.0.4,TCY-131,61,54,7,0,48,9,7,21,90,41,2025-04-22,,,21
MMT-1040,Mobile site not redirecting properly,The issue observed was: mobile site not redirecting properly.,Bug,High,Critical,Search,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Mobile site not redirecting properly occurs.,In Progress,user2@igsqa.com,qa3@igsqa.com,2025-05-07,"Mobile, Crash",Sprint-2,v1.0.3,TCY-103,71,65,6,0,39,4,7,6,69,142,2025-05-07,,,6
MMT-1041,Flight timings mismatch,The issue observed was: flight timings mismatch.,Performance Issue,High,Critical,Offers,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Flight timings mismatch occurs.,In Progress,user10@igsqa.com,qa5@igsqa.com,2025-03-14,Payment,Sprint-4,v1.0.3,TCY-129,67,66,1,0,42,11,9,60,78,42,2025-03-14,,,60
MMT-1042,App crash on hotel booking,The issue observed was: app crash on hotel booking.,UI Bug,Medium,Minor,User Profile,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,App crash on hotel booking occurs.,Reopened,user6@igsqa.com,qa5@igsqa.com,2025-04-17,"QA, SmokeTest",Sprint-1,v1.0.1,TCY-136,61,54,7,1,26,8,4,26,91,52,2025-04-17,2025-04-20,2025-04-21,22
MMT-1043,Coupon code not applied,The issue observed was: coupon code not applied.,UI Bug,High,Critical,User Profile,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Coupon code not applied occurs.,Reopened,user2@igsqa.com,qa2@igsqa.com,2025-04-01,"UI, Regression",Sprint-4,v1.0.3,TCY-122,21,21,0,0,50,11,7,42,60,128,2025-04-01,2025-04-05,2025-04-08,35
MMT-1044,Date picker not responsive,The issue observed was: date picker not responsive.,Performance Issue,High,Critical,Mobile App,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Date picker not responsive occurs.,Resolved,user6@igsqa.com,qa5@igsqa.com,2025-04-26,UX,Sprint-2,v1.0.3,TCY-138,48,40,8,1,25,6,8,17,64,134,2025-04-26,2025-05-02,,11
MMT-1045,Payment gateway timeout error,The issue observed was: payment gateway timeout error.,Bug,Low,Critical,Search,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Payment gateway timeout error occurs.,Resolved,user1@igsqa.com,qa5@igsqa.com,2025-03-27,"UI, Regression",Sprint-2,v1.0.1,TCY-144,11,3,8,0,24,11,6,47,63,59,2025-03-27,2025-03-31,,43
MMT-1046,Date picker not responsive,The issue observed was: date picker not responsive.,UI Bug,High,Major,Flight Booking,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Date picker not responsive occurs.,Open,user2@igsqa.com,qa2@igsqa.com,2025-05-09,"QA, SmokeTest",Sprint-1,v1.0.3,TCY-114,12,11,1,0,13,6,6,4,75,46,2025-05-09,,,4
MMT-1047,Payment gateway timeout error,The issue observed was: payment gateway timeout error.,Functional Bug,High,Minor,Web UI,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Payment gateway timeout error occurs.,Reopened,user6@igsqa.com,qa1@igsqa.com,2025-03-22,"UI, Regression",Sprint-2,v1.0.5,TCY-142,65,59,6,0,60,8,5,52,83,142,2025-03-22,2025-03-26,2025-03-28,46
MMT-1048,GST invoice not generated,The issue observed was: gst invoice not generated.,UI Bug,High,Major,Offers,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,GST invoice not generated occurs.,In Progress,user1@igsqa.com,qa4@igsqa.com,2025-05-12,UX,Sprint-5,v1.0.2,TCY-128,90,81,9,0,7,10,8,1,75,91,2025-05-12,,,1
MMT-1049,Flight timings mismatch,The issue observed was: flight timings mismatch.,Functional Bug,Medium,Critical,Offers,UAT,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Flight timings mismatch occurs.,Reopened,user7@igsqa.com,qa1@igsqa.com,2025-04-01,"UI, Regression",Sprint-2,v1.0.2,TCY-135,68,66,2,0,57,6,7,42,61,113,2025-04-01,2025-04-05,2025-04-06,37
MMT-1050,Coupon code not applied,The issue observed was: coupon code not applied.,Performance Issue,Medium,Critical,Hotel Booking,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Coupon code not applied occurs.,Open,user8@igsqa.com,qa4@igsqa.com,2025-05-10,Booking,Sprint-4,v1.0.1,TCY-112,11,5,6,0,36,2,7,3,87,141,2025-05-10,,,3
